age	gender	postcode
64	F	AB55
93	F	EH18
54	F	EH99
44	F	KW5
79	M	DG9
30	F	G76
28	F	PA67
45	F	FK6
28	F	PA9
32	M	IV21
56	F	PA72
49	F	DG9
94	M	PA76
37	M	PH6
63	M	FK8
25	F	G82
19	F	DG6
38	F	PA36
40	F	PH20
84	M	KA16
45	F	FK21
91	F	KA20
30	F	EH32
60	M	KA2
86	F	G90
43	F	ML7
49	M	AB11
38	M	IV18
28	F	AB32
27	M	ML4
27	M	AB14
48	F	EH33
28	F	IV52
25	F	EH16
50	M	FK21
32	F	G58
90	F	EH42
80	M	PH41
62	F	FK3
64	F	EH28
69	M	IV22
62	F	G44
26	F	EH32
65	F	EH1
44	M	KW13
58	M	AB25
20	M	G79
79	F	KA10
54	M	KA26
24	F	PA18
50	F	PA17
46	M	PA46
76	M	PA20
34	M	IV16
64	M	IV51
19	M	G60
88	M	G74
42	F	IV53
45	M	G83
37	F	G12
52	F	KA9
69	M	EH37
36	F	EH41
25	F	IV23
76	F	G4
54	M	AB44
86	M	TD12
69	F	KW9
30	F	EH51
48	F	EH15
85	F	DG8
81	F	EH5
52	F	EH15
24	M	KA15
78	F	AB36
78	F	HS7
49	M	G31
66	M	AB12
58	F	KA18
81	F	AB32
31	F	AB32
39	M	KW6
77	F	PH42
26	F	EH14
51	M	FK13
40	F	PA75
35	F	AB31
51	F	PA36
40	M	EH8
33	F	EH20
78	M	KA9
33	F	EH37
73	F	PH17
62	F	FK10
37	F	G68
73	F	TD13
78	M	FK7
37	F	G58
33	F	G69
71	M	ZE3
78	F	PA26
64	M	G9
79	F	G81
73	M	PA61
25	F	IV18
83	F	PA21
20	M	FK20
40	F	KA22
19	F	DG6
95	F	PA48
22	M	DD4
23	F	ML1
79	F	IV13
36	F	KA4
59	F	PH15
36	F	ML12
68	M	PA63
84	M	KA16
19	F	IV49
78	F	PA73
62	F	G79
38	F	EH55
92	M	DD11
20	F	PA19
63	M	PA5
78	M	G64
18	F	PA64
42	M	G84
39	M	EH18
48	F	EH34
45	M	EH53
87	M	EH7
61	M	PA15
22	F	PA63
37	F	FK4
62	M	AB24
26	M	EH31
30	F	PH37
86	F	KW12
55	M	FK13
89	M	EH55
50	F	AB30
26	M	PA20
25	F	IV18
88	F	PA63
42	F	AB42
95	F	AB99
35	F	IV41
88	M	KA25
37	M	G66
65	M	G3
39	F	KA4
34	F	DG16
72	M	KA28
88	M	PA18
24	F	IV47
76	F	EH30
44	F	AB43
28	F	G14
79	F	G4
39	F	PH8
90	F	PH4
40	M	EH46
62	M	KW11
29	M	DG13
86	M	HS2
32	M	AB23
27	F	G69
93	F	IV14
35	F	KW1
68	M	PH25
76	F	PA73
55	F	DD2
77	F	TD10
52	M	EH7
39	M	DD11
34	F	AB32
42	F	HS4
20	F	EH45
47	F	PA2
43	F	IV46
70	F	PA49
58	F	TD15
53	F	KY10
23	M	ML10
69	M	PH17
54	F	IV49
68	M	DD8
34	M	IV63
59	F	DG5
36	F	AB56
65	M	PA17
58	F	KW7
64	F	IV51
60	M	FK7
73	M	IV55
23	F	ML7
45	M	IV9
45	F	AB38
89	M	AB55
52	F	IV20
46	F	G73
62	M	DG6
93	F	EH22
55	M	AB36
61	F	PA22
90	F	TD10
26	M	HS2
73	M	IV54
91	M	AB10
83	F	EH29
47	F	PH11
38	M	IV5
59	F	PH20
43	F	PA32
54	M	KY6
93	F	PH19
60	F	AB38
36	F	KY11
24	F	EH1
62	F	FK11
93	M	PA14
56	M	HS6
44	M	IV47
26	F	EH47
38	M	G15
94	M	KA1
65	F	IV46
60	M	FK15
51	F	PH6
86	M	IV20
61	M	PH6
74	F	AB15
89	M	KA13
54	M	ML10
58	F	PH10
60	M	KA28
71	M	G81
60	F	G66
57	F	EH23
21	M	KA12
40	M	PA43
68	F	TD3
39	F	EH55
68	M	PH22
94	M	AB37
33	F	KA20
38	M	KA26
24	F	IV18
72	M	G64
