age	gender	postcode
63	F	G33
74	F	G42
62	F	TD13
80	F	KW7
81	M	AB16
63	F	IV20
85	F	PA32
74	M	PA41
18	F	PA29
94	M	AB23
59	F	KA22
36	M	IV49
48	F	DD8
26	F	ML11
83	M	PH10
72	M	PA75
75	F	IV47
63	F	PA2
72	M	DG11
69	M	PH17
68	F	KA7
38	M	PA67
64	M	ML4
94	F	PA9
70	F	EH53
73	F	PA17
32	M	IV44
79	M	KA14
21	M	PA41
42	F	KA5
47	F	PA6
21	M	G68
54	F	PA77
72	F	AB12
34	M	HS3
20	M	KA24
48	M	AB32
82	M	AB36
36	M	KW3
39	F	PA12
23	M	G15
95	F	IV41
92	M	EH55
95	M	PH3
53	F	TD10
70	F	PA26
75	F	AB34
88	M	G31
48	M	FK11
79	F	PA46
40	M	PH23
85	F	PA14
42	M	EH18
66	F	PA6
90	F	PA15
19	F	PA78
65	F	EH11
75	M	G31
70	F	TD4
37	F	FK4
19	M	G23
81	M	PA73
80	M	AB12
92	M	G64
18	F	PA42
26	M	PA48
47	F	PA12
45	F	G9
91	M	EH20
48	M	PA64
26	M	TD4
42	M	EH52
93	F	KA20
71	F	PA74
22	M	PA26
67	M	KA4
31	F	AB45
44	F	EH26
67	F	EH23
86	F	PH35
88	M	PA12
23	F	PA70
91	F	PA10
80	F	AB14
62	F	TD8
40	F	PA19
39	M	KA17
59	M	PA17
81	F	G14
88	M	G60
48	F	DG2
78	M	PH49
80	M	G83
44	M	TD10
95	F	KA13
50	M	ML7
79	M	AB15
89	M	G51
85	M	G23
48	M	KW11
65	M	IV49
27	M	DD2
58	F	FK7
42	F	G62
44	M	KW15
39	F	G9
50	F	EH29
53	M	G79
95	M	G74
35	F	KW17
35	M	IV14
64	F	G40
84	F	AB99
82	M	ML1
57	F	G64
73	M	KW7
56	F	IV8
77	M	AB43
94	F	IV27
64	F	IV22
38	F	KA19
89	F	PH32
58	F	AB15
91	M	PH42
24	F	PA20
57	F	G64
30	F	EH15
95	M	EH23
34	F	FK8
67	F	HS9
88	M	ML1
58	F	PA77
55	F	PA36
36	M	DD10
76	F	KA27
18	F	DD2
63	M	TD8
88	M	PA24
77	F	IV9
62	M	EH32
21	M	FK4
43	M	KY99
79	M	AB23
68	F	TD4
49	M	HS3
47	M	HS2
58	M	G64
61	M	KA10
56	M	G23
80	M	KA6
41	M	AB23
62	F	AB37
23	F	ML1
28	M	TD1
62	M	IV43
62	F	IV16
57	F	PH1
87	M	KA1
45	M	KA20
21	F	IV20
77	F	EH53
62	F	KA15
35	F	FK6
82	F	KW12
38	M	PH44
25	F	PA48
41	M	FK6
48	F	TD1
85	F	ML3
93	M	G58
68	F	AB14
66	F	EH45
44	M	EH7
63	F	KA26
89	F	DD6
78	F	PA41
42	M	TD1
34	F	IV46
65	M	ML12
48	M	G58
64	M	KA22
50	F	ML6
28	F	ML12
88	M	IV8
18	F	AB42
27	F	IV99
57	F	PH32
35	M	PH17
30	M	PA30
55	F	EH23
45	M	AB11
90	F	KA15
71	F	TD1
31	F	KA16
89	F	FK5
54	F	DD8
20	M	AB45
64	F	ML6
59	M	PA11
21	F	G2
49	M	PA78
70	M	PA32
36	F	G58
75	M	AB11
88	M	IV52
26	M	KA4
62	M	FK15
90	F	PH30
61	M	DG6
88	F	AB21
50	M	KY99
36	M	KW15
30	F	DD8
60	F	HS1
95	M	KW11
73	M	HS6
42	F	G61
86	M	G90
94	F	KA5
50	F	PH8
87	F	IV49
74	M	KA15
26	F	KA9
92	F	PA76
32	F	PA75
94	F	EH43
69	F	EH12
22	F	PA70
57	F	KA7
94	F	KA26
77	M	KY9
89	M	G20
76	F	IV46
25	F	KA21
77	M	PA12
80	M	PA17
63	M	AB51
90	F	FK8
32	F	EH46
25	F	KA6
88	M	KA10
76	M	G20
29	F	FK10
45	F	IV27
31	M	G81
77	M	PA22
65	M	PH50
44	M	PH21
78	M	EH42
19	F	PH4
70	F	ML3
19	M	EH41
91	M	G62
88	F	FK9
51	F	AB24
26	M	PH25
91	M	PH17
19	F	IV16
80	F	AB21
34	F	EH2
83	F	KW2
39	M	EH33
41	M	IV10
25	M	PA31
56	F	EH15
61	M	KA4
89	F	AB22
89	F	PA10
28	M	AB44
50	F	PA36
25	M	EH35
57	F	KY5
60	F	EH3
52	M	PH13
75	F	EH15
74	F	HS2
78	M	KY14
75	M	KW7
26	M	ZE3
64	F	G23
42	M	KA28
47	M	G60
40	F	IV99
45	F	PH44
46	F	PH20
78	F	PA17
80	F	EH26
73	F	G74
51	M	PA17
30	M	PA49
23	M	KW6
46	M	FK18
95	M	IV46
22	F	G84
49	F	PA38
58	M	PA37
26	F	AB37
32	F	AB37
32	F	FK21
72	F	PA35
51	M	AB36
80	F	PA38
53	M	KA1
35	M	TD1
23	M	PA72
42	F	IV46
20	F	PH17
88	F	G2
20	F	EH30
59	M	KA15
23	M	PA18
85	F	EH7
66	M	AB37
56	M	ML10
62	M	AB31
40	F	PH1
58	M	AB30
34	F	KW1
24	F	KA16
52	M	EH42
45	M	FK2
81	F	PA64
35	F	PA11
40	M	IV49
78	M	KA7
49	M	KY99
71	M	AB51
47	M	IV53
32	F	HS3
66	F	KA20
48	F	G14
68	M	FK8
56	F	IV47
19	F	PA20
43	M	AB51
23	M	DG13
31	F	PH14
64	M	KW10
33	M	HS2
78	F	EH31
18	M	AB25
83	F	FK20
62	F	KY2
22	M	DG10
90	F	AB23
74	M	G23
64	M	TD1
80	M	G41
19	F	EH20
28	M	EH54
89	M	IV18
44	M	AB22
36	F	FK2
80	F	PA49
70	M	PA30
90	F	HS9
62	M	KW15
63	F	PA11
22	M	EH24
90	M	FK9
34	F	DG2
33	F	EH43
92	M	PH6
50	F	PA36
33	F	EH33
66	M	G20
25	F	EH45
37	M	EH51
70	F	KW17
46	F	PA9
45	M	EH21
34	M	IV10
61	F	G20
68	M	FK20
46	M	G64
54	F	PH10
53	M	TD4
66	F	KY8
88	F	PA18
82	M	AB30
58	F	PA78
82	F	EH9
71	M	IV47
26	M	AB56
76	F	KW16
71	M	G32
18	M	HS6
90	M	G70
18	F	G4
33	F	PA6
32	M	G20
